Accession	GeneName	UnipriotGeneName	MaxLCDLengthPerProtein	DataType
P60323	NANOS3	NANO3_HUMAN	16	BACKGROUND
Q9BRZ2	TRIM56	TRI56_HUMAN	23	BACKGROUND
O75096	LRP4	LRP4_HUMAN	24	BACKGROUND
P60321	NANOS2	NANO2_HUMAN	23	BACKGROUND
P60328	KRTAP12-3	KR123_HUMAN	13	BACKGROUND
Q9UGK8	SERGEF	SRGEF_HUMAN	14	BACKGROUND
Q9UGK3	STAP2	STAP2_HUMAN	29	BACKGROUND
Q5T953	IER5L	IER5L_HUMAN	57	BACKGROUND
Q9UGL1	KDM5B	KDM5B_HUMAN	24	BACKGROUND
Q86SM8	MRGPRE	MRGRE_HUMAN	27	BACKGROUND
Q86SM5	MRGPRG	MRGRG_HUMAN	19	BACKGROUND
Q658T7	null	F90A2_HUMAN	21	BACKGROUND
Q8TCZ2	CD99L2	C99L2_HUMAN	21	BACKGROUND
Q96NA8	TSNARE1	TSNA1_HUMAN	22	BACKGROUND
Q96NA2	RILP	RILP_HUMAN	17	BACKGROUND
Q04637	EIF4G1	IF4G1_HUMAN	30	BACKGROUND
Q9UGJ0	PRKAG2	AAKG2_HUMAN	18	BACKGROUND
Q9UGJ1	TUBGCP4	GCP4_HUMAN	16	BACKGROUND
P17787	CHRNB2	ACHB2_HUMAN	14	BACKGROUND
Q06787	FMR1	FMR1_HUMAN	23	PR_ONLY
Q9BRY0	SLC39A3	S39A3_HUMAN	12	BACKGROUND
Q04609	FOLH1	FOLH1_HUMAN	20	BACKGROUND
Q9UGI9	PRKAG3	AAKG3_HUMAN	13	BACKGROUND
O75078	ADAM11	ADA11_HUMAN	30	BACKGROUND
O75077	ADAM23	ADA23_HUMAN	20	BACKGROUND
Q8TD94	null	KLF14_HUMAN	54	BACKGROUND
Q9BRX2	PELO	PELO_HUMAN	14	BACKGROUND
Q8TCX5	RHPN1	RHPN1_HUMAN	31	BACKGROUND
O75074	LRP3	LRP3_HUMAN	23	BACKGROUND
Q9BS91	SLC35A5	S35A5_HUMAN	11	BACKGROUND
Q9UGI0	ZRANB1	ZRAN1_HUMAN	16	BACKGROUND
B9ZVM9	TCP10L2	TCP2L_HUMAN	15	BACKGROUND
Q9BRX8	FAM213A	F213A_HUMAN	15	BACKGROUND
Q9BRX9	WDR83	WDR83_HUMAN	15	BACKGROUND
Q9UGI6	KCNN3	KCNN3_HUMAN	60	BACKGROUND
E9PKD4	NPIPA5	NPIA5_HUMAN	20	BACKGROUND
Q86T03	TMEM55B	TM55B_HUMAN	37	BACKGROUND
O75083	WDR1	WDR1_HUMAN	12	BACKGROUND
Q8TD91	MAGEC3	MAGC3_HUMAN	40	BACKGROUND
O75084	FZD7	FZD7_HUMAN	23	BACKGROUND
O75081	CBFA2T3	MTG16_HUMAN	26	BACKGROUND
Q5T8R8	C9orf66	CI066_HUMAN	34	BACKGROUND
Q8TCY9	URGCP	URGCP_HUMAN	18	BACKGROUND
Q9BS86	ZPBP	ZPBP1_HUMAN	28	BACKGROUND
